Mod:Item:MetaData, Localized Name
minecraft:furnace, Печь
minecraft:lit_furnace, Печь
minecraft:ladder, Лестница
minecraft:rail, Рельсы
minecraft:stone_stairs, Ступеньки из булыжника
minecraft:lever, Рычаг
minecraft:stone_pressure_plate, Нажимная плита
minecraft:wooden_pressure_plate, Нажимная плита
minecraft:redstone_ore, Красная руда
minecraft:redstone_torch, Красный факел
minecraft:stone_button, Кнопка
minecraft:snow_layer:0, Снег
minecraft:ice, Лёд
minecraft:snow, Снег
minecraft:cactus, Кактус
minecraft:clay, Глина
minecraft:jukebox, Проигрыватель
minecraft:fence, Забор
minecraft:pumpkin, Тыква
minecraft:netherrack, Адский камень
minecraft:soul_sand, Песок душ
minecraft:glowstone, Светящийся камень
minecraft:portal, Портал
minecraft:lit_pumpkin, Светильник Джека
minecraft:stained_glass:0, Белое стекло
minecraft:stained_glass:1, Оранжевое стекло
minecraft:stained_glass:2, Пурпурное стекло
minecraft:stained_glass:3, Голубое стекло
minecraft:stained_glass:4, Жёлтое стекло
minecraft:stained_glass:5, Лаймовое стекло
minecraft:stained_glass:6, Розовое стекло
minecraft:stained_glass:7, Серое стекло
minecraft:stained_glass:8, Светло-серое стекло
minecraft:stained_glass:9, Бирюзовое стекло
minecraft:stained_glass:10, Фиолетовое стекло
minecraft:stained_glass:11, Синее стекло
minecraft:stained_glass:12, Коричневое стекло
minecraft:stained_glass:13, Зелёное стекло
minecraft:stained_glass:14, Красное стекло
minecraft:stained_glass:15, Чёрное стекло
minecraft:trapdoor, Люк
minecraft:monster_egg:0, Камень с монстрами
minecraft:monster_egg:1, Булыжник с монстрами
minecraft:monster_egg:2, Каменный кирпич с монстрами
minecraft:monster_egg:3, Замшелый каменный кирпич с монстрами
minecraft:monster_egg:4, Потрескавшийся каменный кирпич с монстрами
minecraft:monster_egg:5, Резной каменный кирпич с монстрами
minecraft:stonebrick:0, Каменные кирпичи
minecraft:stonebrick:1, Замшелые каменные кирпичи
minecraft:stonebrick:2, Потресканные каменные кирпичи
minecraft:stonebrick:3, Резные каменные кирпичи
minecraft:brown_mushroom_block, Гриб
minecraft:red_mushroom_block, Гриб
minecraft:iron_bars, Железные прутья
minecraft:glass_pane, Стеклянная панель
minecraft:melon_block, Арбуз
minecraft:vine, Лоза
minecraft:fence_gate, Калитка
minecraft:brick_stairs, Кирпичные ступеньки
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича
minecraft:mycelium, Мицелий
minecraft:waterlily, Кувшинка
minecraft:nether_brick, Адские кирпичи
minecraft:nether_brick_fence, Адский забор
minecraft:nether_brick_stairs, Адские ступеньки
minecraft:enchanting_table, Стол зачарований
minecraft:end_portal, Безымянный блок, сообщите автору мода.
minecraft:end_portal_frame, Портал в Энд
minecraft:end_stone, Эндерняк
minecraft:dragon_egg, Яйцо дракона
minecraft:redstone_lamp, Лампа
minecraft:wooden_slab:0, Дубовая плита
minecraft:wooden_slab:1, Еловая панель
minecraft:wooden_slab:2, Берёзовая плита
minecraft:wooden_slab:3, Плита из тропического дерева
minecraft:wooden_slab:4, Плита из акации
minecraft:wooden_slab:5, Плита из тёмного дуба
minecraft:cocoa, Какао
minecraft:sandstone_stairs, Ступеньки из песчаника
minecraft:emerald_ore, Изумрудная руда
minecraft:ender_chest, Сундук Эндера
minecraft:tripwire_hook, Крюк
minecraft:emerald_block, Изумрудный блок
minecraft:spruce_stairs, Еловые ступеньки
minecraft:birch_stairs, Березовые ступеньки
minecraft:jungle_stairs, Ступеньки из тропической древесины
minecraft:command_block, Командный блок
minecraft:beacon, Маяк
minecraft:cobblestone_wall:0, Каменная ограда
minecraft:cobblestone_wall:1, Ограда из замшелого булыжника
minecraft:carrots, Морковь
minecraft:potatoes, Картофель
minecraft:wooden_button, Кнопка
minecraft:anvil:0, Наковальня
minecraft:anvil:1, Повреждённая наковальня
minecraft:anvil:2, Сильно повреждённая наковальня
minecraft:trapped_chest, Сундук-ловушка
minecraft:light_weighted_pressure_plate, Утяжелённая нажимная пластина (Лёгкая)
minecraft:heavy_weighted_pressure_plate, Утяжелённая нажимная пластина (Тяжёлая)
minecraft:daylight_detector, Датчик дневного света
minecraft:redstone_block, Блок красного камня
minecraft:quartz_ore, Кварцевая руда
minecraft:hopper, Воронка
minecraft:quartz_block:0, Кварцевый блок
minecraft:quartz_block:1, Резной кварцевый блок
minecraft:quartz_block:2, Кварцевая колонна
minecraft:quartz_stairs, Кварцевые ступеньки
minecraft:activator_rail, Активирующие рельсы
minecraft:dropper, Выбрасыватель
minecraft:stained_hardened_clay:0, Белая обожжённая глина
minecraft:stained_hardened_clay:1, Оранжевая обожжённая глина
minecraft:stained_hardened_clay:2, Пурпурная обожжённая глина
minecraft:stained_hardened_clay:3, Голубая обожжённая глина
minecraft:stained_hardened_clay:4, Жёлтая обожжённая глина
minecraft:stained_hardened_clay:5, Лаймовая обожжённая глина
minecraft:stained_hardened_clay:6, Розовая обожжённая глина
minecraft:stained_hardened_clay:7, Серая обожжённая глина
minecraft:stained_hardened_clay:8, Светло-серая обожжённая глина
minecraft:stained_hardened_clay:9, Бирюзовая обожжённая глина
minecraft:stained_hardened_clay:10, Фиолетовая обожжённая глина
minecraft:stained_hardened_clay:11, Синяя обожжённая глина
minecraft:stained_hardened_clay:12, Коричневая обожжённая глина
minecraft:stained_hardened_clay:13, Зелёная обожжённая глина
minecraft:stained_hardened_clay:14, Красная обожжённая глина
minecraft:stained_hardened_clay:15, Чёрная обожжённая глина
minecraft:stained_glass_pane:0, Белая стеклянная панель
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель
minecraft:stained_glass_pane:3, Голубая стеклянная панель
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель
minecraft:stained_glass_pane:6, Розовая стеклянная панель
minecraft:stained_glass_pane:7, Серая стеклянная панель
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель
minecraft:stained_glass_pane:11, Синяя стеклянная панель
minecraft:stained_glass_pane:12, Коричневая стеклянная панель
minecraft:stained_glass_pane:13, Зелёная стеклянная панель
minecraft:stained_glass_pane:14, Красная стеклянная панель
minecraft:stained_glass_pane:15, Чёрная стеклянная панель
minecraft:leaves2:0, Листья акации
minecraft:leaves2:1, Листья тёмного дуба
minecraft:log2:0, Древесина акации
minecraft:log2:1, Древесина тёмного дуба
minecraft:acacia_stairs, Ступеньки из древесины акации
minecraft:dark_oak_stairs, Ступеньки из тёмного дуба
BuildCraft|Core:eternalSpring:0, Источник воды
BuildCraft|Core:eternalSpring:1, Источник нефти
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, Двигатель на красном камне
BuildCraft|Core:engineBlock:1, Двигатель Стирлинга
BuildCraft|Core:engineBlock:2, Двигатель внутреннего сгорания
BuildCraft|Core:engineBlock:3, Двигатель для творческого режима
BuildCraft|Core:markerBlock, Метка
BuildCraft|Core:pathMarkerBlock, Направляющая Метка
minecraft:hay_block, Сноп сена
minecraft:carpet:0, Ковёр
minecraft:carpet:1, Оранжевый ковёр
minecraft:carpet:2, Пурпурный ковёр
minecraft:carpet:3, Голубой ковёр
minecraft:carpet:4, Жёлтый ковёр
minecraft:carpet:5, Лаймовый ковёр
minecraft:carpet:6, Розовый ковёр
minecraft:carpet:7, Серый ковёр
minecraft:carpet:8, Светло-серый ковёр
minecraft:carpet:9, Бирюзовый ковёр
minecraft:carpet:10, Фиолетовый ковёр
minecraft:carpet:11, Синий ковёр
minecraft:carpet:12, Коричневый ковёр
minecraft:carpet:13, Зелёный ковёр
minecraft:carpet:14, Красный ковёр
minecraft:carpet:15, Чёрный ковёр
minecraft:hardened_clay, Обожжёная глина
minecraft:coal_block, Угольный блок
minecraft:packed_ice, Плотный лёд
minecraft:double_plant:0, Подсолнух
minecraft:double_plant:1, Сирень
minecraft:double_plant:2, Двойная высокая трава
minecraft:double_plant:3, Раскидистый папоротник
minecraft:double_plant:4, Розовый куст
minecraft:double_plant:5, Пион
BuildCraft|Transport:filteredBufferBlock, Фильтр
BuildCraft|Transport:pipeBlock, tile.pipeBlock.name
BuildCraft|Factory:miningWellBlock, Буровая установка
BuildCraft|Factory:plainPipeBlock, Буровая труба
BuildCraft|Factory:autoWorkbenchBlock, Автоматический верстак
BuildCraft|Factory:tankBlock, Цистерна
BuildCraft|Factory:pumpBlock, Помпа
BuildCraft|Factory:floodGateBlock, Шлюз
BuildCraft|Factory:refineryBlock, Нефтеперегонная вышка
BuildCraft|Factory:blockHopper, Воронка
BuildCraft|Silicon:laserBlock, Лазер
BuildCraft|Silicon:laserTableBlock:0, Сборочный стол
BuildCraft|Silicon:laserTableBlock:1, Сборочный верстак
BuildCraft|Silicon:laserTableBlock:2, Стол интеграции
BuildCraft|Silicon:laserTableBlock:3, Стол подзарядки
BuildCraft|Silicon:laserTableBlock:4, Стол программирования
BuildCraft|Silicon:laserTableBlock:5, Стол штамповки
BuildCraft|Silicon:packagerBlock, Упаковщик рецептов
appliedenergistics2:tile.OreQuartz, Руда истинного кварца
appliedenergistics2:tile.OreQuartzCharged, Заряженная руда истинного кварца
appliedenergistics2:tile.BlockMatrixFrame, Каркас матрицы
appliedenergistics2:tile.BlockQuartz, Блок истинного кварца
appliedenergistics2:tile.BlockQuartzPillar, Колонна истинного кварца
appliedenergistics2:tile.BlockQuartzChiseled, Резной блок истинного кварца
appliedenergistics2:tile.BlockQuartzGlass, Кварцевое стекло
appliedenergistics2:tile.BlockQuartzLamp, Энергичное кварцевое стекло
appliedenergistics2:tile.BlockQuartzTorch, Светильник из заряженного кварца
appliedenergistics2:tile.BlockFluix, Изменчивый блок
appliedenergistics2:tile.BlockSkyStone:0, Небесный камень
appliedenergistics2:tile.BlockSkyStone:1, Блок небесного камня
appliedenergistics2:tile.BlockSkyStone:2, Кирпич небесного камня
appliedenergistics2:tile.BlockSkyStone:3, Малый кирпич небесного камня
appliedenergistics2:tile.BlockSkyChest:0, Сундук из небесного камня
appliedenergistics2:tile.BlockSkyChest:1, Сундук из блока небесного камня
appliedenergistics2:tile.BlockSkyCompass, Метеоритный компас
appliedenergistics2:tile.BlockGrinder, Кварцевый дробитель
appliedenergistics2:tile.BlockCrank, Деревянная рукоятка
appliedenergistics2:tile.BlockInscriber, Высекатель
appliedenergistics2:tile.BlockWireless, МЭ беспроводная точка доступа
appliedenergistics2:tile.BlockCharger, Зарядник
appliedenergistics2:tile.BlockTinyTNT, Маленький динамит
appliedenergistics2:tile.BlockSecurity, МЭ терминал безопасности
appliedenergistics2:tile.BlockQuantumRing, МЭ квантовое кольцо
appliedenergistics2:tile.BlockQuantumLinkChamber, МЭ камера квантовой связи
appliedenergistics2:tile.BlockSpatialPylon, Пространственный пилон
appliedenergistics2:tile.BlockSpatialIOPort, Пространственный порт ввода\вывода
appliedenergistics2:tile.BlockCableBus, AE2 кабель и/или шина
appliedenergistics2:tile.BlockController, МЭ контроллер
appliedenergistics2:tile.BlockDrive, МЭ накопитель
appliedenergistics2:tile.BlockChest, МЭ сундук
appliedenergistics2:tile.BlockInterface, МЭ интерфейс
appliedenergistics2:tile.BlockCellWorkbench, Верстак для ячеек
appliedenergistics2:tile.BlockIOPort, МЭ порт ввода\вывода
appliedenergistics2:tile.BlockCondenser, Конденсатор материи
appliedenergistics2:tile.BlockEnergyAcceptor, Приёмщик энергии
appliedenergistics2:tile.BlockVibrationChamber, Вибрационная камера
appliedenergistics2:tile.BlockQuartzGrowthAccelerator, Ускоритель роста кристаллов
appliedenergistics2:tile.BlockEnergyCell, Энергетическая ячейка
appliedenergistics2:tile.BlockDenseEnergyCell, Плотная энергетическая ячейка
appliedenergistics2:tile.BlockCreativeEnergyCell, Творческая энергетическая ячейка
appliedenergistics2:tile.BlockCraftingUnit:0, Блок создания
appliedenergistics2:tile.BlockCraftingUnit:1, Блок обработки создания
appliedenergistics2:tile.BlockCraftingStorage:0, 1К хранилище создания
appliedenergistics2:tile.BlockCraftingStorage:1, 4К хранилище создания
appliedenergistics2:tile.BlockCraftingStorage:2, 16К хранилище создания
appliedenergistics2:tile.BlockCraftingStorage:3, 64К хранилище создания
appliedenergistics2:tile.BlockCraftingMonitor:0, Монитор создания
appliedenergistics2:tile.BlockMolecularAssembler, Молекулярный сборщик
appliedenergistics2:tile.BlockLightDetector, Светильник обнаружения света
appliedenergistics2:tile.BlockPaint, tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock, Ступеньки из небесного камня
appliedenergistics2:tile.SkyStoneBlockStairBlock, Ступеньки из блока небесного камня
appliedenergistics2:tile.SkyStoneBrickStairBlock, Ступеньки из кирпича небесного камня
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, Ступеньки из малого кирпича небесного камня
appliedenergistics2:tile.FluixStairBlock, Изменчивые ступеньки
appliedenergistics2:tile.QuartzStairBlock, Ступеньки из истинного кварца
appliedenergistics2:tile.ChiseledQuartzStairBlock, Ступеньки из резного истинного кварца
appliedenergistics2:tile.QuartzPillarStairBlock, Ступеньки из колонны истинного кварца
appliedenergistics2:tile.SkyStoneSlabBlock:0, Sky Stone Slabs
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, Sky Stone Slabs
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, Sky Stone Block Slabs
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, Sky Stone Block Slabs
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, Sky Stone Brick Slabs
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, Sky Stone Brick Slabs
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, Sky Stone Small Brick Slabs
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, Sky Stone Small Brick Slabs
appliedenergistics2:tile.FluixSlabBlock:0, Fluix Slabs
appliedenergistics2:tile.FluixSlabBlock.double:0, Fluix Slabs
appliedenergistics2:tile.QuartzSlabBlock:0, Certus Quartz Slabs
appliedenergistics2:tile.QuartzSlabBlock.double:0, Certus Quartz Slabs
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, Chiseled Certus Quartz Slabs
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, Chiseled Certus Quartz Slabs
appliedenergistics2:tile.QuartzPillarSlabBlock:0, Certus Quartz Pillar Slabs
minecraft:iron_shovel, Железная лопата
minecraft:iron_pickaxe, Железная кирка
minecraft:iron_axe, Железный топор
minecraft:flint_and_steel, Огниво
minecraft:apple, Яблоко
minecraft:bow, Лук
minecraft:arrow, Стрела
minecraft:coal:0, Уголь
minecraft:coal:1, Древесный уголь
minecraft:diamond, Алмаз
minecraft:iron_ingot, Железный слиток
minecraft:gold_ingot, Золотой слиток
minecraft:iron_sword, Железный меч
minecraft:wooden_sword, Деревянный меч
minecraft:wooden_shovel, Деревянная лопата
minecraft:wooden_pickaxe, Деревянная кирка
minecraft:wooden_axe, Деревянный топор
minecraft:stone_sword, Каменный меч
minecraft:stone_shovel, Каменная лопата
minecraft:stone_pickaxe, Каменная кирка
minecraft:stone_axe, Каменный топор
minecraft:diamond_sword, Алмазный меч
minecraft:diamond_shovel, Алмазная лопата
minecraft:diamond_pickaxe, Алмазная кирка
minecraft:diamond_axe, Алмазный топор
minecraft:stick, Палка
minecraft:bowl, Миска
minecraft:mushroom_stew, Тушеные грибы
minecraft:golden_sword, Золотой меч
minecraft:golden_shovel, Золотая лопата
minecraft:golden_pickaxe, Золотая кирка
minecraft:golden_axe, Золотой топор
minecraft:string, Нить
minecraft:feather, Перо
minecraft:gunpowder, Порох
minecraft:wooden_hoe, Деревянная мотыга
minecraft:stone_hoe, Каменная мотыга
minecraft:iron_hoe, Железная мотыга
minecraft:diamond_hoe, Алмазная мотыга
minecraft:golden_hoe, Золотая мотыга
minecraft:wheat_seeds, Семена пшеницы
minecraft:wheat, Пшеница
minecraft:bread, Хлеб
minecraft:leather_helmet, Кожаный шлем
minecraft:leather_chestplate, Кожаная куртка
minecraft:leather_leggings, Кожаные штаны
minecraft:leather_boots, Кожаные ботинки
minecraft:chainmail_helmet, Койф
minecraft:chainmail_chestplate, Кольчуга
minecraft:chainmail_leggings, Кольчужные поножи
minecraft:chainmail_boots, Кольчужные ботинки
minecraft:iron_helmet, Железный шлем
minecraft:iron_chestplate, Железный нагрудник
minecraft:iron_leggings, Железные поножи
minecraft:iron_boots, Железные ботинки
minecraft:diamond_helmet, Алмазный шлем
minecraft:diamond_chestplate, Алмазный нагрудник
minecraft:diamond_leggings, Алмазные поножи
minecraft:diamond_boots, Алмазные ботинки
minecraft:golden_helmet, Золотой шлем
minecraft:golden_chestplate, Золотой нагрудник
minecraft:golden_leggings, Золотые поножи
minecraft:golden_boots, Золотые ботинки
minecraft:flint, Кремень
minecraft:porkchop, Сырая свинина
minecraft:cooked_porkchop, Жареная свинина
minecraft:painting, Картина
minecraft:golden_apple:0, Золотое яблоко
minecraft:golden_apple:1, Золотое яблоко
minecraft:sign, Табличка
minecraft:wooden_door, Деревянная дверь
minecraft:bucket, Ведро
minecraft:water_bucket, Ведро воды
minecraft:lava_bucket, Ведро лавы
minecraft:minecart, Вагонетка
minecraft:saddle, Седло
minecraft:iron_door, Железная дверь
minecraft:redstone, Красная пыль
minecraft:snowball, Снежок
minecraft:boat, Лодка
minecraft:leather, Кожа
minecraft:milk_bucket, Ведро молока
minecraft:brick, Кирпич
minecraft:clay_ball, Глина
minecraft:reeds, Сахарный тростник
minecraft:paper, Бумага
minecraft:book, Книга
minecraft:slime_ball, Сгусток слизи
minecraft:chest_minecart, Грузовая вагонетка
minecraft:furnace_minecart, Самоходная вагонетка
minecraft:egg, Яйцо
minecraft:compass, Компас
minecraft:fishing_rod, Удочка
minecraft:clock, Часы
minecraft:glowstone_dust, Светящаяся пыль
minecraft:fish:0, Сырая рыба
minecraft:fish:1, Сырой лосось
minecraft:fish:2, Рыба-клоун
minecraft:fish:3, Рыба фугу
minecraft:cooked_fished:0, Приготовленная рыба
minecraft:cooked_fished:1, Приготовленный лосось
minecraft:dye:0, Чернильный мешок
minecraft:dye:1, Красный краситель
minecraft:dye:2, Зеленый краситель
minecraft:dye:3, Какао-бобы
minecraft:dye:4, Лазурит
minecraft:dye:5, Фиолетовый краситель
minecraft:dye:6, Бирюзовый краситель
minecraft:dye:7, Светло-серый краситель
minecraft:dye:8, Серый краситель
minecraft:dye:9, Розовый краситель
minecraft:dye:10, Лаймовый краситель
minecraft:dye:11, Желтый краситель
minecraft:dye:12, Голубой краситель
minecraft:dye:13, Пурпурный краситель
minecraft:dye:14, Оранжевый краситель
minecraft:dye:15, Костная мука
minecraft:bone, Кость
minecraft:sugar, Сахар
minecraft:cake, Торт
minecraft:bed, Кровать
minecraft:repeater, Повторитель
minecraft:cookie, Печенье
minecraft:filled_map:0, Карта
minecraft:shears, Ножницы
minecraft:melon, Арбуз
minecraft:pumpkin_seeds, Семена тыквы
minecraft:melon_seeds, Семена арбуза
minecraft:beef, Сырая говядина
minecraft:cooked_beef, Стейк
minecraft:chicken, Курятина
minecraft:cooked_chicken, Жареная курица
minecraft:rotten_flesh, Гнилая плоть
minecraft:ender_pearl, Жемчуг Эндера
minecraft:blaze_rod, Стержень ифрита
minecraft:ghast_tear, Слеза Гаста
minecraft:gold_nugget, Золотой самородок
minecraft:nether_wart, Адский нарост
minecraft:potion:0, Пузырёк воды
minecraft:potion:8193, Зелье регенерации
minecraft:potion:8225, Зелье регенерации
minecraft:potion:8257, Зелье регенерации
minecraft:potion:16385, Взрывное Зелье регенерации
minecraft:potion:16417, Взрывное Зелье регенерации
minecraft:potion:16449, Взрывное Зелье регенерации
minecraft:potion:8194, Зелье стремительности
minecraft:potion:8226, Зелье стремительности
minecraft:potion:8258, Зелье стремительности
minecraft:potion:16386, Взрывное Зелье стремительности
minecraft:potion:16418, Взрывное Зелье стремительности
minecraft:potion:16450, Взрывное Зелье стремительности
minecraft:potion:8227, Зелье огнестойкости
minecraft:potion:8259, Зелье огнестойкости
minecraft:potion:16419, Взрывное Зелье огнестойкости
minecraft:potion:16451, Взрывное Зелье огнестойкости
minecraft:potion:8196, Зелье отравления
minecraft:potion:8228, Зелье отравления
minecraft:potion:8260, Зелье отравления
minecraft:potion:16388, Взрывное Зелье отравления
minecraft:potion:16420, Взрывное Зелье отравления
minecraft:potion:16452, Взрывное Зелье отравления
minecraft:potion:8261, Лечебное зелье
minecraft:potion:8229, Лечебное зелье
minecraft:potion:16453, Взрывное Лечебное зелье
minecraft:potion:16421, Взрывное Лечебное зелье
minecraft:potion:8230, Зелье ночного зрения
minecraft:potion:8262, Зелье ночного зрения
minecraft:potion:16422, Взрывное Зелье ночного зрения
minecraft:potion:16454, Взрывное Зелье ночного зрения
minecraft:potion:8232, Зелье слабости
minecraft:potion:8264, Зелье слабости
minecraft:potion:16424, Взрывное Зелье слабости
minecraft:potion:16456, Взрывное Зелье слабости
minecraft:potion:8201, Зелье силы
minecraft:potion:8233, Зелье силы
minecraft:potion:8265, Зелье силы
minecraft:potion:16393, Взрывное Зелье силы
minecraft:potion:16425, Взрывное Зелье силы
minecraft:potion:16457, Взрывное Зелье силы
minecraft:potion:8234, Зелье замедления
minecraft:potion:8266, Зелье замедления
minecraft:potion:16426, Взрывное Зелье замедления
minecraft:potion:16458, Взрывное Зелье замедления
minecraft:potion:8268, Зелье вреда
minecraft:potion:8236, Зелье вреда
minecraft:potion:16460, Взрывное Зелье вреда
minecraft:potion:16428, Взрывное Зелье вреда
minecraft:potion:8237, Зелье подводного дыхания
minecraft:potion:8269, Зелье подводного дыхания
minecraft:potion:16429, Взрывное Зелье подводного дыхания
minecraft:potion:16461, Взрывное Зелье подводного дыхания
minecraft:potion:8238, Зелье невидимости
minecraft:potion:8270, Зелье невидимости
minecraft:potion:16430, Взрывное Зелье невидимости
minecraft:potion:16462, Взрывное Зелье невидимости
minecraft:glass_bottle, Пузырёк
minecraft:spider_eye, Паучий глаз
minecraft:fermented_spider_eye, Маринованный паучий глаз
minecraft:blaze_powder, Огненный порошок
minecraft:magma_cream, Сгусток магмы
minecraft:brewing_stand, Варочная стойка
minecraft:cauldron, Котёл
minecraft:ender_eye, Око Эндера
minecraft:speckled_melon, Сверкающий арбуз
minecraft:spawn_egg:50, Призвать существо - Крипер
minecraft:spawn_egg:51, Призвать существо - Скелет
minecraft:spawn_egg:52, Призвать существо - Паук
minecraft:spawn_egg:54, Призвать существо - Зомби
minecraft:spawn_egg:55, Призвать существо - Слизень
minecraft:spawn_egg:56, Призвать существо - Гаст
minecraft:spawn_egg:57, Призвать существо - Свинозомби
minecraft:spawn_egg:58, Призвать существо - Эндермен
minecraft:spawn_egg:59, Призвать существо - Пещерный паук
minecraft:spawn_egg:60, Призвать существо - Чешуйница
minecraft:spawn_egg:61, Призвать существо - Ифрит
minecraft:spawn_egg:62, Призвать существо - Адский слизень
minecraft:spawn_egg:65, Призвать существо - Летучая мышь
minecraft:spawn_egg:66, Призвать существо - Ведьма
minecraft:spawn_egg:90, Призвать существо - Свинья
minecraft:spawn_egg:91, Призвать существо - Овца
minecraft:spawn_egg:92, Призвать существо - Корова
minecraft:spawn_egg:93, Призвать существо - Курица
minecraft:spawn_egg:94, Призвать существо - Спрут
minecraft:spawn_egg:95, Призвать существо - Волк
minecraft:spawn_egg:96, Призвать существо - Мууухомор
minecraft:spawn_egg:98, Призвать существо - Оцелот
minecraft:spawn_egg:100, Призвать существо - Лошадь
minecraft:spawn_egg:120, Призвать существо - Житель
minecraft:experience_bottle, Пузырёк опыта
minecraft:fire_charge, Огненный шар
minecraft:writable_book, Книга и перо
minecraft:written_book, Завершенная книга
minecraft:emerald, Изумруд
minecraft:item_frame, Рамка
minecraft:flower_pot, Цветочный горшок
minecraft:carrot, Морковь
